DEPKIDBC,A1564UBC,A6599UCF,AGODCUBC,AGYDCUBC,PRSNSUBC,NUCCIUBC,CCSHIUBC,ATTYIUBC,CEPKIUBC,TENREPCF,LNDLDIUC,KID0T2BC,KID3T4BC,KID5T9BC,KID1524B,USATIUBC,ABSFID,ABSIID,CTUSUCIU,IOBTCUF,NOEMPIBC,PSRC4PU,PSRC8PU,IOBTPUF,PSRCSCU,PSRCSCU8,UHRSCCIU,USEFCCIU,ICCL4WIU,TYPFCIUA,TYPFCIUB,TYPFCIUC,TYPFCIUD,TYPFCIUE,TYPFCIUF,KD1014BC,IUTYPE,UHRICIU,IURENT,ITGCBCU6,INVESTCU,INVESCU8,OTHSRCU,OTHSRCU8,ISUPERCU,IOBTCU,INCTOTPU,INCTOPU8,IWSTPU,IWSTPU8,ITGCBPU,INVESTPU,INVESPU8,OTHSRPU,OTHSRPU8,IOBTPU,ISUPERPU,IWSSUCU,UHRSFCIU,HRSPSIU,INCTSCU,INCTSCU8,IWSUCU8,ITGCBCU8,FINSCOPU,ABSPID,SIHIUWT,WUS0101,WUS0102,WUS0103,WUS0104,WUS0105,WUS0106,WUS0107,WUS0108,WUS0109,WUS0110,WUS0111,WUS0112,WUS0113,WUS0114,WUS0115,WUS0116,WUS0117,WUS0118,WUS0119,WUS0120,WUS0121,WUS0122,WUS0123,WUS0124,WUS0125,WUS0126,WUS0127,WUS0128,WUS0129,WUS0130,WUS0131,WUS0132,WUS0133,WUS0134,WUS0135,WUS0136,WUS0137,WUS0138,WUS0139,WUS0140,WUS0141,WUS0142,WUS0143,WUS0144,WUS0145,WUS0146,WUS0147,WUS0148,WUS0149,WUS0150,WUS0151,WUS0152,WUS0153,WUS0154,WUS0155,WUS0156,WUS0157,WUS0158,WUS0159,WUS0160,LEVELIU,CWKCRAIU,WKLYCCBU,WKLYCCRU,COSTICIU,WKLYPSIU,COSTCCIU,COSTFCIU,ABSHID,ABSLID
4,1,0,4,3,5,0,0,4,0,3,0,0,0,2,0,0,1,1,0,0,0,3,3,0,3,3,0,2,2,7,0,0,0,0,0,1,3,0,100,583.05,0,0,4,4,0,0,13392,13392,0,0,12992,0,0,400,400,0,0,0,0,0,587.05,587.05,0,583.05,1,00,258.14151075,249.69360352,247.14355469,260.94116211,245.3494873,260.66333008,270.46679688,270.35205078,272.73632813,279.78417969,258.69140625,254.01501465,246.78552246,252.16101074,264.77197266,295.63061523,257.10888672,258.08105469,257.41479492,244.26245117,252.48474121,282.52832031,260.84570313,272.49975586,265.90917969,257.83032227,261.74047852,325.4543457,262.94873047,266.00488281,247.38720703,261.11181641,242.46740723,257.45727539,270.33520508,259.71166992,265.78369141,258.41796875,259.80175781,253.51464844,253.25915527,273.59277344,246.32531738,267.81005859,263.01806641,251.32092285,0,255.58288574,256.33349609,277.48071289,272.89306641,296.64819336,268.01806641,264.30761719,252.58044434,256.22216797,259.11767578,262.32055664,262.2668457,269.13574219,264.81420898,3,0,0,0,0,0,0,0,SIH13E8999991,00
1,2,0,1,1,3,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,2,2,7,0,0,0,0,0,0,1,0,0,0,6.48,6.48,0,0,0,0,152291,152291,152061,152061,0,230,230,0,0,0,0,2529,0,0,2535.48,2765.63,2759.15,0,1,00,218.46666069,210.86743164,221.4317627,220.81945801,227.87780762,229.54150391,222.24072266,217.78796387,215.31469727,234.23461914,218.56115723,216.08508301,218.90869141,247.02941895,224.31445313,210.3729248,231.39733887,218.18493652,211.98681641,227.8963623,213.07434082,223.04748535,225.3626709,212.76245117,213.33081055,225.11157227,226.11547852,224.1328125,208.23059082,213.58972168,224.59631348,224.38720703,225.00341797,212.234375,220.6114502,221.84521484,217.61022949,226.01928711,219.12341309,220.03466797,228.80810547,220.52282715,220.57666016,224.12915039,225.23937988,213.57409668,225.16088867,231.28771973,225.47314453,219.79785156,224.9777832,221.25170898,245.9699707,223.41748047,208.31237793,219.14501953,211.75915527,0,232.32055664,220.55505371,233.71191406,3,0,0,0,0,0,0,0,SIH13E8999990,00
0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,3,0,2,2,9,0,0,0,0,0,0,2,0,0,607.49,5.36,5.36,0,0,191.79,0,39902,39902,0,0,29622,280,280,0,0,0,10000,0,0,0,804.64,804.64,0,607.49,2,00,895.24713569,0,887.90917969,908.14746094,882.09130859,931.54199219,922.91308594,908.43505859,912.8828125,891.70458984,903.49365234,917.16650391,900.45507813,915.36621094,896.7890625,923.72167969,926.77099609,948.27929688,907.56054688,919.97216797,896.89160156,918.36816406,915.00830078,935.14648438,921.47216797,914.19482422,886.32958984,893.81835938,901.65820313,893.85302734,952.47949219,878.86376953,911.90966797,920.84863281,895.29785156,884.24365234,901.70996094,956.63476563,880.55761719,877.19189453,927.38330078,917.94775391,927.75,914.49658203,901.46484375,908.67236328,928.38867188,886.72607422,908.70117188,912.49609375,933.44189453,897.13916016,888.16699219,916.74804688,909.57470703,916.86230469,910.05224609,894.42285156,941.90478516,921.18701172,898.68896484,3,0,0,0,0,0,0,0,SIH13E8999989,00
4,4,0,5,3,6,0,0,2,0,2,0,0,0,1,2,0,1,1,0,0,2,1,1,0,4,4,0,2,2,7,0,0,0,0,0,1,1,0,0,0,6094.07,6094.07,0,0,0,0,329300,329300,166500,166500,2600,160200,160200,0,0,0,0,3136,0,0,9230.07,9230.07,3136,0,2,00,629.87186958,617.78417969,666.69091797,0,623.98779297,667.17285156,633.34082031,602.41796875,694.6953125,636.3046875,627.66845703,736.09179688,622.59619141,618.99462891,748.41894531,608.70068359,560.56640625,664.79736328,599.99560547,624.60253906,717.54052734,621.73046875,699.42822266,634.75292969,622.64453125,623.56689453,631.29736328,701.19140625,640.99023438,662.47216797,650.86376953,685.10693359,649.27001953,637.12011719,619.20019531,671.64697266,673.64501953,583.81933594,636.69140625,635.54199219,646.36816406,614.06494141,613.18994141,640.13330078,609.20361328,661.79443359,695.27880859,617.00244141,615.36328125,675.19238281,588.32421875,607.52929688,630.59521484,648.39355469,623.85253906,642.47412109,584.04589844,591.47363281,598.85595703,680.32226563,662.38769531,3,0,0,0,0,0,0,0,SIH13E8999988,00
0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,0,2,2,9,0,0,0,0,0,0,2,0,0,0,90.07,90.07,0,0,0,0,123287.71,123287.71,118393,118393,0,4894.71,4894.71,0,0,0,0,2620,0,0,2710.07,2735.01,2644.94,0,2,00,519.62361548,494.51464844,527.34472656,527.48583984,518.54443359,503.84667969,512.32080078,536.11328125,525.94189453,531.890625,512.65917969,531.42529297,510.28491211,553.31591797,547.97900391,529.00830078,506.80761719,507.86132813,547.04003906,568.13183594,525.48681641,544.19677734,532.97851563,527.15771484,521.47705078,551.33496094,529.74023438,553.44775391,551.69726563,533.22167969,530.48779297,524.56835938,520.64453125,516.84130859,533.61914063,539.47558594,517.37109375,538.68603516,531.29931641,539.09765625,515.49121094,543.73144531,505.29370117,539.16259766,538.42675781,541.49023438,504.35253906,547.49267578,499.33007813,527.84716797,511.50585938,519.34082031,532.52685547,520.16894531,521.08203125,522.69433594,524.91503906,535.07568359,0,533.40820313,535.79736328,3,0,0,0,0,0,0,0,SIH13E8999987,00
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50,1,0,0,0,4,4,0,4,4,0,2,2,9,0,0,0,0,0,0,4,0,0,404.6,3.45,3.45,0,0,486.8,0,44929,44929,0,0,18944,189,189,0,0,0,25796,0,0,0,894.85,894.85,0,404.6,2,00,419.44440583,423.3828125,429.45678711,448.82592773,421.67285156,432.07788086,441.27416992,427.35058594,419.33813477,440.51977539,424.97021484,426.48413086,421.36083984,449.28417969,423.66381836,418.78564453,422.06689453,432.40234375,422.33105469,428.88598633,420.48071289,426.40722656,422.32739258,418.32714844,432.88647461,430.94750977,425.75854492,431.17944336,426.80297852,419.59912109,424.40136719,415.3605957,420.83496094,431.82226563,419.13745117,428.1171875,428.93701172,428.03173828,421.12719727,426.75512695,420.64672852,416.50952148,417.89453125,423.54272461,419.31591797,422.00146484,422.51782227,428.43530273,421.88476563,424.94384766,423.9152832,420.39575195,420.78320313,427.08764648,439.44433594,419.22729492,435.17626953,432.74658203,443.3425293,0,431.32495117,3,0,0,0,0,0,0,0,SIH13E8999986,00
1,1,0,4,4,2,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,3,0,2,2,7,0,0,0,0,0,1,3,0,114,451.05,0,0,0,0,0,0,26423,26423,4500,4500,21923,0,0,0,0,0,0,0,0,0,451.05,451.05,0,451.05,2,00,735.44823416,765.02099609,769.87841797,792.67236328,710.38134766,772.21435547,749.05908203,810.20849609,695.72753906,752.328125,747.74853516,732.28222656,726.10205078,733.38916016,722.51855469,733.43066406,755.84375,733.75732422,784.27929688,743.30859375,741.15771484,732.82910156,732.02099609,705.86376953,754.24658203,776.71044922,759.23242188,765.36621094,725.31542969,780.703125,0,826.53564453,748.50537109,784.16845703,724.57617188,720.21191406,695.14892578,808.07617188,731.71582031,778.40673828,729.52099609,750.22070313,754.98339844,742.36816406,810.90283203,752.45068359,800.33837891,699.24707031,757.390625,722.45605469,702.61474609,757.93212891,756.625,770.40283203,740.390625,737.56738281,735.86865234,750.33984375,758.94921875,713.85839844,715.91650391,3,0,0,0,0,0,0,0,SIH13E8999985,00
0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,0,2,2,9,0,0,0,0,0,0,2,0,0,0,203.12,203.12,0,0,0,0,142058.29,142058.29,131488,131488,0,10570.29,10570.29,0,0,0,0,2365,0,0,2568.12,2625.66,2422.54,0,2,00,118.73565489,117.12249756,119.7434082,117.12158203,118.70843506,124.65148926,118.05975342,135.14404297,116.21386719,122.40124512,120.23150635,117.92254639,118.40661621,133.54785156,121.89251709,120.61743164,117.35687256,116.17700195,122.66912842,114.69018555,133.39038086,117.89813232,119.21282959,117.47015381,117.02496338,127.85595703,131.41784668,114.5927124,121.00805664,117.49920654,121.97021484,0,116.77301025,116.14672852,123.7041626,117.25872803,115.51434326,118.9911499,117.93731689,117.82501221,120.09985352,123.0222168,116.05224609,120.61187744,118.72894287,115.35339355,129.57763672,118.01611328,121.54376221,120.65924072,117.14672852,119.8260498,128.17480469,117.76953125,123.15075684,123.35955811,123.19122314,121.3793335,120.83862305,119.47503662,121.00543213,3,0,0,0,0,0,0,0,SIH13E8999984,00
0,2,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,2,2,9,0,0,0,0,0,0,2,0,360,0,17.26,17.26,0,0,0,0,97720,97720,97000,97000,0,720,720,0,0,0,0,1588,0,0,1605.26,1665.26,1648,0,1,00,1501.2700846,1514.921875,1495.8369141,1524.3320313,1533.484375,1500.1279297,1562.4423828,1502.4873047,1549.9667969,1559.109375,1493.2177734,1500,1532.8369141,1487.5712891,1507.0556641,1490.8515625,1499.4501953,1514.234375,1548.1728516,1522.7578125,1520.9970703,1519.6230469,1572.3271484,1495.2753906,1527.6025391,1499.0439453,1556.3242188,1550.5419922,1532.3857422,1600.4404297,1491.5986328,1536.9365234,1550.4804688,1552.8242188,1566.7636719,1523.6962891,1541.3398438,1547.0917969,1482.3105469,1541.5654297,1544.7822266,1516.765625,1548.7402344,1553.6679688,1545.9697266,1512.3759766,1548.5283203,1477.6943359,1552.5722656,1518.3349609,1516.8789063,1515.3837891,0,1535.2060547,1521.9277344,1579.8564453,1560.9873047,1535.3076172,1492.0488281,1500.2900391,1480.0166016,3,0,0,0,0,0,0,0,SIH13E8999983,00
1,3,0,5,5,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,1,1,2,1,0,2,2,9,0,0,0,0,0,0,1,0,0,0,16.3,16.3,0,0,0,1679,106161.14,106161.14,66970,66970,1010.14,957,957,0,0,37224,0,1454,0,0,3149.3,3384.84,1689.54,0,2,00,161.77894682,180.73376465,181.67785645,176.51672363,178.05932617,166.28515625,179.84094238,168.83081055,181.84448242,169.08508301,156.01586914,173.88049316,178.68945313,177.7064209,158.83447266,151.12719727,150.42382813,165.38586426,181.37866211,135.48010254,164.64550781,160.34790039,175.68640137,165.04748535,0,177.2310791,163.86254883,140.90124512,177.0925293,162.2088623,147.48339844,140.76379395,96.120422363,187.38391113,172.2097168,158.46704102,113.3739624,172.25769043,176.42370605,160.26037598,186.03173828,167.4552002,143.86572266,166.58374023,136.74389648,60.808288574,147.61108398,184.08557129,169.88122559,111.58837891,166.10400391,152.61706543,172.42358398,165.13183594,170.30249023,137.53845215,162.34008789,126.56695557,183.29370117,178.97045898,142.1776123,3,0,0,0,0,0,0,0,SIH13E8999982,00
